index,Key,Structures,Landings,Colliders,Reward,Hazard
0,A,-------------X,1,1,0,0
11,B,--------------,0,0,0,0
13,C,------------X-,2,2,0,0
19,D,---------X----,16,16,0,0
21,E,----EX---X----,272,272,0,512
22,F,----oX---X----,272,272,512,0
25,G,-----X---X----,272,272,0,0
28,H,-----------oX-,2,2,4,0
30,I,--------X-----,32,32,0,0
32,J,--o-----X-----,32,32,2048,0
35,K,----X---------,512,512,0,0
36,L,---EX---------,512,512,0,1024
45,M,------o------X,1,1,128,0
50,N,----------X---,8,8,0,0
54,O,----------?--X,9,9,8,0
55,P,----oX-------X,257,257,512,0
69,Q,----EE--------,0,0,0,768
71,R,------X-------,128,128,0,0
72,S,-----EX-------,128,128,0,256
80,T,-----o--------,0,0,256,0
81,U,-----o--X-----,32,32,256,0
88,V,----o---------,0,0,512,0
89,W,----o----X----,16,16,512,0
93,X,----o------X--,4,4,512,0
94,Y,-----------X--,4,4,0,0
99,Z,-------X------,64,64,0,0
101,[,------EX------,64,64,0,128
108,\,------------oX,1,1,2,0
109,],-----E------oX,1,1,2,256
124,^,------X------X,129,129,0,0
129,_,------------EX,1,1,0,2
133,`,---------XXXXX,16,31,0,0
135,a,-------XXXXXXX,64,127,0,0
137,b,-----XXXXXXXXX,256,511,0,0
147,c,------------XX,2,3,0,0
