index,token,Structures,Landings,Colliders,Reward,Hazard
0,0,-------------X,1,1,0,0
16,1,---------Q---X,17,17,16,0
20,2,---------S---X,17,17,0,0
21,3,---------?--EX,17,17,16,2
22,4,-----Q---S---X,273,273,256,0
28,5,-----------<[X,4,7,0,0
29,6,----------->]X,4,7,0,0
38,7,----------<[[X,8,15,0,0
39,8,---------->]]X,8,15,0,0
41,9,------------EX,1,1,0,2
46,10,---------<[[[X,16,31,0,0
47,11,--------->]]]X,16,31,0,0
64,12,--------S----X,33,33,0,0
69,13,--------------,0,0,0,0
78,14,---------?---X,17,17,16,0
79,15,-------E-S---X,17,17,0,64
80,16,-----S-------X,257,257,0,0
82,17,----ES-------X,257,257,0,512
86,18,-----S--------,256,256,0,0
106,19,---------Q--EX,17,17,16,2
109,20,-----?---Q---X,273,273,272,0
129,21,-----Q---S--EX,273,273,256,2
134,22,------------XX,2,3,0,0
135,23,-----------XXX,4,7,0,0
136,24,----------XXXX,8,15,0,0
137,25,---------XXXXX,16,31,0,0
185,26,--------XXXXXX,32,63,0,0
186,27,-------XXXXXXX,64,127,0,0
187,28,------XXXXXXXX,128,255,0,0
188,29,-----XXXXXXXXX,256,511,0,0
0,30,--SSSSSSSSSSSX,2048,4095,0,0
6,31,--S----------X,2049,2049,0,0
10,32,--S------Q---X,2065,2065,16,0
14,33,--S------Q--EX,2065,2065,16,2
15,34,--S---------EX,2049,2049,0,2
17,35,--S---------XX,2050,2051,0,0
19,36,--S--------XXX,2052,2055,0,0
21,37,--S-------XXXX,2056,2063,0,0
23,38,--S------XXXXX,2064,2079,0,0
29,39,--S-----S---EX,2081,2081,0,2
30,40,--S---o------X,2049,2049,128,0
39,41,--S----SSS---X,2113,2161,0,0
40,42,--S-----oS---X,2065,2065,32,0
41,43,--S--o-SSS---X,2113,2161,256,0
42,44,--S--o-S----EX,2113,2113,256,2
52,45,--S--SSSSS---X,2305,2545,0,0
53,46,--S--SSSSS--EX,2305,2545,0,2
54,47,--SSS----SSS-X,2065,3613,0,0
58,48,--SSS---oS---X,2065,3601,32,0
60,49,--SSS---oS--EX,2065,3601,32,2
62,50,--SSSSSSSS---X,2049,4081,0,0
63,51,--SSSSSSSS--EX,2049,4081,0,2
66,52,--SSS--------X,2049,3585,0,0
69,53,--SSS---?S---X,2081,3633,32,0
70,54,--S-----?----X,2081,2081,32,0
72,55,--S-ESSSSS---X,2305,2545,0,512
75,56,--S-------E--X,2049,2049,0,8
76,57,--SSS----SE--X,2065,3601,0,8
77,58,--SSS---ES---X,2065,3601,0,32
78,59,--SSS----S---X,2065,3601,0,0
80,60,--S-----------,2048,2048,0,0
84,61,--S--o-SS----X,2113,2145,256,0
89,62,--?--o-SS----X,2113,2145,2304,0
103,63,--S-------<[[X,2056,2063,0,0
104,64,--S------E>]]X,2056,2063,0,16
109,65,--S------<[[[X,2064,2079,0,0
110,66,--S-----E>]]]X,2064,2079,0,32
115,67,--S--------<[X,2052,2055,0,0
116,68,--S-------E>]X,2052,2055,0,8
122,69,--S-------SSSX,2056,2063,0,0
133,70,--S--------EXX,2050,2051,0,4
135,71,--S-------EXXX,2052,2055,0,8
138,72,---------XXXX-,16,30,0,0
140,73,----X-----X---,520,520,0,0
148,74,--------S---EX,33,33,0,2
150,75,--------?----X,33,33,32,0
155,76,-----X-------X,257,257,0,0
13,77,------------X-,2,2,0,0
19,78,---------X----,16,16,0,0
21,79,----EX---X----,272,272,0,512
22,80,----oX---X----,272,272,512,0
25,81,-----X---X----,272,272,0,0
28,82,-----------oX-,2,2,4,0
30,83,--------X-----,32,32,0,0
32,84,--o-----X-----,32,32,2048,0
35,85,----X---------,512,512,0,0
36,86,---EX---------,512,512,0,1024
45,87,------o------X,1,1,128,0
50,88,----------X---,8,8,0,0
54,89,----------?--X,9,9,8,0
55,90,----oX-------X,257,257,512,0
69,91,----EE--------,0,0,0,768
71,92,------X-------,128,128,0,0
72,93,-----EX-------,128,128,0,256
80,94,-----o--------,0,0,256,0
81,95,-----o--X-----,32,32,256,0
88,96,----o---------,0,0,512,0
89,97,----o----X----,16,16,512,0
93,98,----o------X--,4,4,512,0
94,99,-----------X--,4,4,0,0
99,100,-------X------,64,64,0,0
101,101,------EX------,64,64,0,128
108,102,------------oX,1,1,2,0
109,103,-----E------oX,1,1,2,256
124,104,------X------X,129,129,0,0
16,105,---------EXXXX,8,15,0,16
21,106,-----S---S---X,273,273,0,0
22,107,-----S------EX,257,257,0,2
40,108,--------E>]]]X,16,31,0,32
45,109,---------E---X,1,1,0,16
46,110,-----Q---?---X,273,273,272,0
47,111,-----Q---Q---X,273,273,272,0
61,112,---------S--EX,17,17,0,2
74,113,-----S---Q---X,273,273,16,0
78,114,-----S---Q--EX,273,273,16,2
109,115,----------E>]X,4,7,0,8
118,116,-----?-------X,257,257,256,0
119,117,-----S----<[[X,264,271,0,0
120,118,-----S---E>]]X,264,271,0,16
123,119,--------<[[[[X,32,63,0,0
124,120,-------E>]]]]X,32,63,0,64
143,121,-----------E-X,1,1,0,4
158,122,-----S---E---X,257,257,0,16
163,123,----------E--X,1,1,0,8
170,124,---------E>]]X,8,15,0,16
183,125,---XXXXXXXXXXX,1024,2047,0,0
11,126,---------EE--X,1,1,0,24
12,127,--------Q----X,33,33,32,0
70,128,----------XX--,8,12,0,0
74,129,--------E-----,0,0,0,32
79,130,---------XXX--,16,28,0,0
83,131,-----S-----XXX,260,263,0,0
110,132,-----?---S---X,273,273,256,0
122,133,-----S--S-----,288,288,0,0
135,134,-------XXXXXX-,64,126,0,0
144,135,----EQ---Q---X,273,273,272,512
159,136,---------SE--X,17,17,0,8
161,137,-------o-S---X,17,17,64,0
162,138,--------ES---X,17,17,0,32
